id,name,meal_type,calories,protein,carbs,fat,ingredients,diet_tags,allergen_tags,budget_level,cooking_time,cuisine,difficulty
meal_034,Nasi Uduk Tempe,breakfast,540,23,74,18,"rice, coconut milk, tempeh, cucumber","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,25,indonesian,easy
meal_035,Nasi Kuning Tempe Orek,breakfast,560,24,76,18,"rice, coconut milk, turmeric, tempeh, sweet soy sauce","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,25,indonesian,easy
meal_036,Bubur Ayam Wortel,breakfast,430,27,56,9,"rice, chicken, carrot, ginger","halal, balanced, high_protein, high_fiber",,medium,30,indonesian,easy
meal_037,Bubur Tahu Sayur,breakfast,340,18,48,7,"rice, tofu, spinach, carrot","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,indonesian,easy
meal_038,Telur Gulung Nasi,breakfast,430,19,58,13,"rice, egg, scallion","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,10,indonesian,easy
meal_039,Tumis Telur Kol Nasi,breakfast,470,20,62,14,"rice, egg, cabbage, garlic","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_040,Tumis Tahu Bayam Nasi,breakfast,430,21,58,11,"rice, tofu, spinach, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,15,indonesian,easy
meal_041,Tempe Goreng Nasi Timun,breakfast,500,23,62,18,"rice, tempeh, cucumber, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,15,indonesian,easy
meal_042,Tahu Kukus Telur,breakfast,360,24,25,18,"tofu, egg, scallion, soy sauce","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,18,indonesian,easy
meal_043,Roti Keju Telur,breakfast,520,24,45,26,"bread, egg, cheese","halal, vegetarian, balanced, high_protein","egg, gluten, milk",medium,12,western,easy
meal_044,Roti Selai Pisang,breakfast,350,9,64,7,"bread, banana, peanut butter","halal, vegetarian, vegan, balanced, budget_friendly","peanut, gluten",low,6,western,easy
meal_045,Oat Apel Kayu Manis,breakfast,340,9,62,7,"oats, apple, milk, cinnamon","halal, vegetarian, balanced, budget_friendly",milk,low,10,western,easy
meal_046,Oat Mangga Yogurt,breakfast,380,14,65,7,"oats, mango, yogurt","halal, vegetarian, balanced",milk,medium,8,western,easy
meal_047,Nasi Ayam Suwir Pagi,breakfast,520,33,62,14,"rice, chicken, garlic, sweet soy sauce","halal, balanced, high_protein",soy,medium,20,indonesian,easy
meal_048,Soto Ayam Sarapan,breakfast,480,30,52,14,"rice, chicken, turmeric broth, cabbage","halal, balanced, high_protein, high_fiber",,medium,30,indonesian,easy
meal_049,Soto Tahu Sarapan,breakfast,390,20,48,12,"rice, tofu, turmeric broth, cabbage","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,indonesian,easy
meal_050,Capcay Telur Pagi,breakfast,430,22,48,16,"rice, egg, cabbage, carrot, broccoli","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,20,chinese_indonesian,easy
meal_051,Nasi Pecel Telur,breakfast,560,22,70,22,"rice, egg, vegetables, peanut sauce","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","egg, peanut",low,20,indonesian,easy
meal_052,Nasi Sayur Bening Telur,breakfast,450,20,58,12,"rice, egg, spinach, corn","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,20,indonesian,easy
meal_053,Nasi Tim Ayam Sederhana,breakfast,480,32,58,12,"rice, chicken, carrot, ginger","halal, balanced, high_protein, high_fiber",,medium,35,indonesian,easy
meal_054,Nasi Tim Tahu,breakfast,380,18,52,8,"rice, tofu, carrot, ginger","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,30,indonesian,easy
meal_055,Perkedel Tahu Sarapan,breakfast,410,20,42,18,"tofu, egg, flour, scallion","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg, gluten",low,20,indonesian,easy
meal_056,Bakwan Jagung Nasi,breakfast,520,14,78,16,"rice, corn, flour, carrot, cabbage","halal, vegetarian, vegan, balanced, high_fiber, budget_friendly",gluten,low,25,indonesian,easy
meal_057,Nasi Bakar Tempe,breakfast,560,23,72,19,"rice, tempeh, banana leaf, sweet soy sauce","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,30,indonesian,easy
meal_058,Nasi Bakar Ayam,breakfast,620,35,72,20,"rice, chicken, banana leaf, garlic","halal, balanced, high_protein",,medium,35,indonesian,easy
meal_059,Lupis Kelapa,breakfast,330,6,68,6,"glutinous rice, coconut, palm sugar","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,30,indonesian,easy
meal_060,Ketan Pisang Kukus,breakfast,360,7,72,6,"glutinous rice, banana, coconut","halal, vegetarian, vegan, balanced, budget_friendly",coconut,low,30,indonesian,easy
meal_061,Gado Gado Mini Pagi,breakfast,480,20,50,22,"tofu, egg, vegetables, peanut sauce","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","soy, egg, peanut",low,20,indonesian,easy
meal_062,Nasi Telur Tomat,breakfast,440,18,58,13,"rice, egg, tomato, garlic","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,12,indonesian,easy
meal_063,Nasi Tempe Sambal Matah,breakfast,500,23,62,18,"rice, tempeh, chili, shallot, lemongrass","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,18,indonesian,easy
meal_064,Nasi Tahu Cabe Garam Pagi,breakfast,470,21,55,16,"rice, tofu, chili, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,15,indonesian,easy
meal_065,Roti Tahu Scramble,breakfast,390,18,42,15,"bread, tofu, turmeric, tomato","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, gluten",low,12,western,easy
meal_066,Telur Kukus Sayur,breakfast,320,19,20,16,"egg, spinach, carrot, scallion","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,18,indonesian,easy
meal_067,Sup Jagung Telur Pagi,breakfast,310,15,35,10,"corn, egg, chicken broth, scallion","halal, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,asian,easy
meal_068,Nasi Sup Tahu,breakfast,400,18,55,9,"rice, tofu, carrot, cabbage","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,20,indonesian,easy
meal_069,Nasi Sup Ayam Pagi,breakfast,480,31,58,12,"rice, chicken, carrot, cabbage","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_070,Bubur Jagung Manis,breakfast,330,8,65,5,"corn, milk, palm sugar","halal, vegetarian, balanced, high_fiber, budget_friendly",milk,low,20,indonesian,easy
meal_071,Nasi Ayam Kecap,lunch,560,34,68,15,"rice, chicken, sweet soy sauce, garlic, cucumber","halal, balanced, high_protein",soy,medium,30,indonesian,easy
meal_072,Nasi Tempe Orek,lunch,500,25,62,16,"rice, tempeh, sweet soy sauce, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,20,indonesian,easy
meal_073,Nasi Tahu Cabe Garam,lunch,460,22,58,14,"rice, tofu, chili, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,20,indonesian,easy
meal_074,Nasi Capcay Ayam,lunch,540,34,60,15,"rice, chicken, cabbage, carrot, broccoli","halal, balanced, high_protein, high_fiber",,medium,25,chinese_indonesian,easy
meal_075,Nasi Capcay Tahu,lunch,470,23,58,13,"rice, tofu, cabbage, carrot, broccoli","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,chinese_indonesian,easy
meal_076,Nasi Pecel Madiun,lunch,580,22,70,24,"rice, tofu, tempeh, vegetables, peanut sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly","soy, peanut",low,25,indonesian,easy
meal_077,Nasi Soto Ayam,lunch,520,33,58,14,"rice, chicken, turmeric broth, cabbage","halal, balanced, high_protein, high_fiber",,medium,35,indonesian,medium
meal_078,Nasi Sayur Asem Tempe,lunch,520,24,76,13,"rice, tempeh, tamarind soup, corn, long beans","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,35,indonesian,medium
meal_079,Nasi Ikan Kembung Goreng,lunch,610,35,66,22,"rice, mackerel fish, cucumber, chili","halal, balanced, high_protein",fish,medium,25,indonesian,easy
meal_080,Nasi Ikan Kembung Panggang,lunch,570,36,64,18,"rice, mackerel fish, cucumber, tomato","halal, balanced, high_protein",fish,medium,30,indonesian,easy
meal_081,Nasi Telur Balado,lunch,560,22,65,22,"rice, egg, chili, tomato","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,25,indonesian,easy
meal_082,Nasi Ayam Suwir,lunch,550,34,65,15,"rice, chicken, garlic, sweet soy sauce","halal, balanced, high_protein",soy,medium,25,indonesian,easy
meal_083,Nasi Sup Ayam,lunch,500,32,58,12,"rice, chicken, carrot, potato, cabbage","halal, balanced, high_protein, high_fiber",,medium,30,indonesian,easy
meal_084,Nasi Teri Kacang,lunch,600,27,68,25,"rice, anchovy, peanut, chili","halal, vegetarian, vegan, balanced","peanut, fish",medium,20,indonesian,easy
meal_085,Nasi Tumis Kangkung Tahu,lunch,470,22,62,12,"rice, tofu, water spinach, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,18,indonesian,easy
meal_086,Nasi Perkedel Tahu,lunch,520,22,62,18,"rice, tofu, egg, flour, scallion","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg, gluten",low,25,indonesian,easy
meal_087,Nasi Ayam Bakar,lunch,620,40,70,19,"rice, grilled chicken, cucumber, sweet soy sauce","halal, balanced, high_protein",soy,medium,40,indonesian,medium
meal_088,Nasi Pepes Tahu,lunch,430,20,58,10,"rice, tofu, banana leaf, basil","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,30,indonesian,easy
meal_089,Nasi Pepes Ikan,lunch,560,35,60,16,"rice, fish, banana leaf, basil","halal, balanced, high_protein",fish,medium,35,indonesian,medium
meal_090,Nasi Cah Sawi Tahu,lunch,450,21,58,12,"rice, tofu, mustard greens, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,18,chinese_indonesian,easy
meal_091,Nasi Oseng Tempe Kacang Panjang,lunch,520,25,66,16,"rice, tempeh, long beans, sweet soy sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,20,indonesian,easy
meal_092,Nasi Rawon Ayam Simple,lunch,590,34,62,22,"rice, chicken, keluak spice, bean sprouts","halal, balanced, high_protein, high_fiber",,medium,40,indonesian,medium
meal_093,Nasi Kari Ayam Simple,lunch,650,36,68,24,"rice, chicken, coconut milk, potato, carrot","halal, balanced, high_protein, high_fiber","milk, coconut",medium,40,indonesian,medium
meal_094,Nasi Bakwan Jagung Sayur,lunch,530,14,78,16,"rice, corn, flour, cabbage, carrot","halal, vegetarian, vegan, balanced, high_fiber, budget_friendly",gluten,low,25,indonesian,easy
meal_095,Nasi Tahu Tempe Bacem,lunch,560,24,76,18,"rice, tofu, tempeh, sweet soy sauce, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,35,indonesian,medium
meal_096,Nasi Telur Ceplok Sambal,lunch,520,19,64,20,"rice, egg, chili, tomato","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,15,indonesian,easy
meal_097,Nasi Telur Dadar Padang Simple,lunch,600,24,65,26,"rice, egg, chili, scallion","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,20,indonesian,easy
meal_098,Nasi Ayam Rica Simple,lunch,610,38,65,21,"rice, chicken, chili, basil","halal, balanced, high_protein",,medium,35,indonesian,medium
meal_099,Nasi Ayam Jahe,lunch,540,36,62,14,"rice, chicken, ginger, garlic","halal, balanced, high_protein",,medium,25,indonesian,easy
meal_100,Nasi Ayam Serundeng Simple,lunch,650,38,72,24,"rice, chicken, coconut, garlic","halal, balanced, high_protein",coconut,medium,35,indonesian,medium
meal_101,Nasi Ayam Kunyit,lunch,560,37,64,15,"rice, chicken, turmeric, garlic","halal, balanced, high_protein",,medium,25,indonesian,easy
meal_102,Nasi Tahu Bumbu Kuning,lunch,470,22,60,14,"rice, tofu, turmeric, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,25,indonesian,easy
meal_103,Nasi Tempe Bumbu Kuning,lunch,520,25,64,17,"rice, tempeh, turmeric, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,25,indonesian,easy
meal_104,Nasi Ikan Sarden Tomat,lunch,530,29,62,18,"rice, sardine, tomato sauce, spinach","halal, balanced, high_protein, high_fiber, budget_friendly",fish,low,15,indonesian,easy
meal_105,Nasi Tuna Suwir,lunch,560,34,64,17,"rice, tuna, garlic, chili","halal, balanced, high_protein",fish,medium,20,indonesian,easy
meal_106,Nasi Lele Goreng,lunch,640,36,70,24,"rice, catfish, cucumber, chili","halal, balanced, high_protein",fish,medium,25,indonesian,easy
meal_107,Nasi Mujair Goreng,lunch,610,35,68,21,"rice, tilapia fish, cucumber, tomato","halal, balanced, high_protein",fish,medium,25,indonesian,easy
meal_108,Nasi Oseng Tahu Jamur,lunch,460,22,58,13,"rice, tofu, mushroom, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,20,indonesian,easy
meal_109,Nasi Tumis Buncis Telur,lunch,500,22,60,17,"rice, egg, green beans, garlic","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,18,indonesian,easy
meal_110,Nasi Tumis Kol Telur,lunch,480,20,60,15,"rice, egg, cabbage, garlic","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly",egg,low,15,indonesian,easy
meal_111,Nasi Tumis Sawi Ayam,lunch,520,34,58,14,"rice, chicken, mustard greens, garlic","halal, balanced, high_protein",,medium,20,indonesian,easy
meal_112,Nasi Tumis Sawi Tahu,lunch,440,21,56,12,"rice, tofu, mustard greens, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,18,indonesian,easy
meal_113,Nasi Sop Tahu Wortel,lunch,420,19,58,9,"rice, tofu, carrot, cabbage","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,indonesian,easy
meal_114,Nasi Sop Bakso Ayam,lunch,560,28,62,20,"rice, chicken meatballs, carrot, cabbage","halal, balanced, high_protein, high_fiber",,medium,25,indonesian,easy
meal_115,Nasi Telur Kecap Bawang,lunch,480,19,62,16,"rice, egg, sweet soy sauce, shallot","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,15,indonesian,easy
meal_116,Nasi Tahu Telur Surabaya,lunch,620,28,68,26,"rice, tofu, egg, peanut sauce","halal, vegetarian, balanced, high_protein","soy, egg, peanut",medium,25,indonesian,easy
meal_117,Nasi Lotek Sayur,lunch,520,18,66,22,"rice, vegetables, tofu, peanut sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly","soy, peanut",low,25,indonesian,easy
meal_118,Nasi Karedok Tahu,lunch,470,18,58,18,"rice, tofu, raw vegetables, peanut sauce","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly","soy, peanut",low,20,indonesian,easy
meal_119,Nasi Urap Tempe,lunch,500,22,65,16,"rice, tempeh, vegetables, coconut","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly","soy, coconut",low,25,indonesian,easy
meal_120,Nasi Oseng Pare Telur,lunch,480,21,58,16,"rice, egg, bitter melon, garlic","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,20,indonesian,easy
meal_121,Nasi Lodeh Tahu,lunch,550,20,68,22,"rice, tofu, coconut milk, chayote","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,30,indonesian,easy
meal_122,Nasi Lodeh Tempe,lunch,570,23,70,22,"rice, tempeh, coconut milk, chayote","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,30,indonesian,easy
meal_123,Nasi Bobor Bayam Telur,lunch,530,21,66,20,"rice, egg, spinach, coconut milk","halal, vegetarian, balanced, high_protein, high_fiber, budget_friendly","egg, milk, coconut",low,30,indonesian,easy
meal_124,Nasi Gudeg Telur Simple,lunch,650,24,82,24,"rice, egg, jackfruit, coconut milk","halal, vegetarian, balanced, high_protein","egg, milk, coconut",medium,40,indonesian,medium
meal_125,Nasi Gudeg Tahu,lunch,610,22,84,20,"rice, tofu, jackfruit, coconut milk","halal, vegetarian, balanced, high_protein","soy, milk, coconut",medium,40,indonesian,medium
meal_126,Nasi Gule Ayam Simple,lunch,700,38,66,30,"rice, chicken, coconut milk, spices","halal, balanced, high_protein","milk, coconut",medium,45,indonesian,medium
meal_127,Nasi Opor Ayam Simple,lunch,690,37,68,28,"rice, chicken, coconut milk, potato","halal, balanced, high_protein","milk, coconut",medium,45,indonesian,medium
meal_128,Nasi Sambal Goreng Tahu,lunch,560,22,66,22,"rice, tofu, chili, coconut milk","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,30,indonesian,easy
meal_129,Nasi Sambal Goreng Tempe,lunch,590,26,68,23,"rice, tempeh, chili, coconut milk","halal, vegetarian, balanced, high_protein, budget_friendly","soy, milk, coconut",low,30,indonesian,easy
meal_130,Nasi Semur Telur,lunch,560,22,68,21,"rice, egg, sweet soy sauce, potato","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,30,indonesian,easy
meal_131,Nasi Semur Tahu,lunch,520,21,68,18,"rice, tofu, sweet soy sauce, potato","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,30,indonesian,easy
meal_132,Nasi Semur Ayam,lunch,650,36,70,24,"rice, chicken, sweet soy sauce, potato","halal, balanced, high_protein",soy,medium,40,indonesian,medium
meal_133,Nasi Ayam Teriyaki Rumahan,lunch,620,38,72,19,"rice, chicken, soy sauce, sweet soy sauce","halal, balanced, high_protein",soy,medium,25,asian,easy
meal_134,Nasi Beef Teriyaki Simple,lunch,690,40,74,24,"rice, beef, soy sauce, broccoli","halal, balanced, high_protein",soy,high,30,asian,easy
meal_135,Nasi Chicken Katsu Simple,lunch,720,39,82,26,"rice, chicken, flour, egg, cabbage","halal, balanced, high_protein, high_fiber","egg, gluten",high,35,japanese,medium
meal_136,Nasi Tofu Teriyaki,lunch,500,24,64,15,"rice, tofu, soy sauce, broccoli","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,25,asian,easy
meal_137,Nasi Ayam Lada Hitam,lunch,620,37,66,22,"rice, chicken, black pepper, onion","halal, balanced, high_protein",,medium,25,chinese_indonesian,easy
meal_138,Nasi Tahu Lada Hitam,lunch,500,23,62,16,"rice, tofu, black pepper, onion","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,20,chinese_indonesian,easy
meal_139,Nasi Capcay Seafood,lunch,680,38,70,24,"rice, shrimp, cabbage, carrot, broccoli","halal, balanced, high_protein, high_fiber",shellfish,high,30,chinese_indonesian,easy
meal_140,Nasi Udang Saus Tiram,lunch,650,36,66,23,"rice, shrimp, oyster sauce, broccoli","halal, balanced, high_protein",shellfish,high,25,chinese_indonesian,easy
meal_141,Nasi Ayam Saus Tiram,lunch,610,36,66,20,"rice, chicken, oyster sauce, cabbage","halal, balanced, high_protein, high_fiber",,medium,25,chinese_indonesian,easy
meal_142,Nasi Tumis Jamur Telur,lunch,500,22,58,18,"rice, egg, mushroom, garlic","halal, vegetarian, balanced, high_protein, budget_friendly",egg,low,18,indonesian,easy
meal_143,Nasi Oseng Teri Tempe,lunch,580,29,66,20,"rice, anchovy, tempeh, chili","halal, vegetarian, vegan, balanced, high_protein","soy, fish",medium,20,indonesian,easy
meal_144,Nasi Tahu Kemangi,lunch,450,21,58,12,"rice, tofu, basil, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly",soy,low,18,indonesian,easy
meal_145,Nasi Ayam Kemangi,lunch,560,36,60,16,"rice, chicken, basil, garlic","halal, balanced, high_protein",,medium,25,indonesian,easy
meal_146,Nasi Ikan Tongkol Suwir,lunch,580,36,64,18,"rice, tuna fish, chili, garlic","halal, balanced, high_protein",fish,medium,25,indonesian,easy
meal_147,Nasi Pindang Telur,lunch,540,22,66,18,"rice, egg, sweet soy sauce, spices","halal, vegetarian, balanced, high_protein, budget_friendly","soy, egg",low,30,indonesian,easy
meal_148,Nasi Sup Jagung Ayam,lunch,520,32,62,13,"rice, chicken, corn, carrot","halal, balanced, high_protein, high_fiber",,medium,30,indonesian,easy
meal_149,Nasi Sup Jagung Tahu,lunch,440,20,60,10,"rice, tofu, corn, carrot","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,25,indonesian,easy
meal_150,Nasi Cah Kangkung Ayam,lunch,540,34,60,15,"rice, chicken, water spinach, garlic","halal, balanced, high_protein, high_fiber",,medium,20,indonesian,easy
meal_151,Nasi Cah Kangkung Tempe,lunch,500,25,64,15,"rice, tempeh, water spinach, garlic","halal, vegetarian, vegan, balanced, high_protein, high_fiber, budget_friendly",soy,low,18,indonesian,easy
meal_152,Nasi Telur Krispi Simple,lunch,610,24,72,24,"rice, egg, flour, chili","halal, vegetarian, balanced, high_protein, budget_friendly","egg, gluten",low,20,indonesian,easy
meal_153,Nasi Tahu Krispi,lunch,560,23,68,20,"rice, tofu, flour, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, gluten",low,20,indonesian,easy
meal_154,Nasi Tempe Krispi,lunch,590,27,68,22,"rice, tempeh, flour, garlic","halal, vegetarian, vegan, balanced, high_protein, budget_friendly","soy, gluten",low,20,indonesian,easy
